Código,Posto,Mês/Ano,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
265,Recife (Alto da Brasileira),jan/2012,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,0","4,6","0,0","5,3","8,2","0,0","0,0","6,1","0,0","0,0","0,9","2,5","3,0","10,4","34,4","85,0","35,9","1,9","0,0","12,8","0,0","0,0","0,0","2,3","13419,7"
196,Recife (Codecipe / Santo Amaro),jan/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5055,8"
344,Recife (Lamepe/Itep),jan/2012,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0","8,0","5,7","0,0","7,6","0,0","0,5","8,0","1,5","0,5","2,0","4,3","2,0","40,0","22,0","62,0","14,4","1,0","0,0","5,0","0,0","0,0","0,0","10,2","1611,6"
378,Recife (Santo Amaro),jan/2012,"0,0","0,0","0,0","0,0","0,0","0,0","2,1","0,0","3,7","2,0","0,0","6,6","0,0","10,5","0,0","0,0","0,0","0,0","4,5","8,1","22,6","83,7","7,0","0,0","0,0","0,0","7,5","0,0","0,0","0,0","10,2","1998,8"
30,Recife (Várzea),jan/2012,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,4","8,8","6,6","0,0","5,4","0,3","0,5","9,6","1,4","0,6","1,0","1,8","2,0","40,0","21,4","61,8","16,0","1,0","0,0","5,4","0,0","0,0","0,0","12,4","15807,2"
480,Recife - PCD,jan/2012,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,8","5,8","5,3","0,8","6,8","0,0","0,0","6,5","0,5","0,0","3,0","2,8","1,3","38,8","25,3","68,3","11,5","0,3","0,0","3,8","0,5","1,0","0,5","11,8","1418,8"
265,Recife (Alto da Brasileira),fev/2012,"0,0","0,0","0,8","0,0","0,7","0,7","1,5","0,8","0,0","0,0","0,0","0,8","0,0","0,0","3,5","1,6","0,8","45,8","50,2",-,"0,3","0,8","0,0","0,0","0,5","0,0","0,0","0,8","0,9",-,-,"13419,7"
196,Recife (Codecipe / Santo Amaro),fev/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5055,8"
344,Recife (Lamepe/Itep),fev/2012,"0,0","0,0","0,0","0,0","2,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","12,0","95,0","31,0","5,0","3,1","6,5","0,0","21,0","1,5","0,0","3,1","0,0","0,0",-,-,"1611,6"
378,Recife (Santo Amaro),fev/2012,"0,0","0,0","0,0","0,0","5,9","0,0","0,0","0,0","0,0","0,0","0,0","0,4","1,2","0,0","0,0","0,0","6,9","47,1","0,0","0,0","7,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",-,-,"1998,8"
