,ID,justification,length,num_points,in_place
0,8002108013,0,240,1,1
1,8003832612,0,0,0,0
2,8005348412,0,0,0,0
3,8003833212,0,0,0,0
4,8002630913,0,120,1,1
5,8004032312,0,120,1,1
6,8004331012,0,1080,9,1
7,8003834912,0,160,1,1
8,8003909912,0,160,1,1
9,8004034612,0,480,1,1
10,8004381812,0,160,1,1
11,8003854012,0,200,1,1
12,8003844412,0,520,1,1
13,8003723212,0,0,0,0
14,8003756812,0,400,1,1
15,8003722612,0,240,1,1
16,8003805912,0,0,0,0
17,8003839012,0,0,0,0
18,8003810212,0,240,1,1
19,8003814812,0,0,0,0
20,8003900112,0,440,1,1
21,8005623512,0,0,0,0
22,8003783512,0,120,1,1
23,8003785812,0,120,1,1
24,8003787012,0,240,1,1
25,8003788712,0,0,0,0
26,8003784112,0,0,0,0
27,8003789312,0,0,0,0
28,8003790112,0,480,1,1
29,8003793012,0,0,0,0
30,8005794412,0,0,0,0
31,8002018113,0,160,1,1
32,8003798212,0,240,1,1
33,8004445612,0,160,1,1
34,8003802012,0,0,0,0
35,8003809412,0,0,0,0
36,8004366912,0,160,1,1
37,8003908212,0,0,0,0
38,8004007912,0,0,0,0
39,8004008512,0,0,0,0
40,8003672912,0,0,0,0
41,8004400212,0,120,1,1
42,8005054012,0,0,0,0
43,8004383012,0,0,0,0
44,8004005612,0,0,0,0
45,8003687612,0,0,0,0
46,8004010012,0,0,0,0
47,8004013912,0,160,1,1
48,8004014512,0,0,0,0
49,8004016812,0,0,0,0
50,8004017412,0,0,0,0
51,8003936612,0,0,0,0
52,8003939512,0,240,1,1
53,8003940312,0,240,1,1
54,8003941012,0,160,1,1
55,8004020512,0,0,0,0
56,8003942612,0,120,1,1
57,8003947812,0,160,1,1
58,8003948412,0,0,0,0
59,8004022812,0,240,1,1
60,8002962113,0,240,1,1
61,8004384712,0,0,0,0
62,8003960412,0,0,0,0
63,8004024012,0,0,0,0
64,8005055712,0,0,0,0
65,8003962712,0,160,1,1
66,8003813112,0,240,1,1
67,8003622112,0,360,2,1
68,8004026312,0,0,0,0
69,8003670612,0,240,1,1
70,8003822012,0,360,1,1
71,8003648012,0,0,0,0
72,8004234512,0,0,0,0
73,8003973912,0,240,1,1
74,8004028612,0,240,1,1
75,8003974512,0,240,1,1
76,8003966212,0,0,0,0
77,8003965612,0,360,1,1
78,8003979712,0,320,1,1
79,8003955012,0,320,1,1
80,8003981112,0,200,1,1
81,8003928312,0,0,0,0
82,8003997512,0,0,0,0
83,8003683012,0,0,0,0
84,8003685312,0,240,1,1
85,8003625012,0,360,1,1
86,8003821412,0,0,0,0
87,8003690712,0,200,1,1
88,8003691312,0,680,1,1
89,8003693612,0,400,1,1
90,8003825012,0,0,0,0
91,8003826612,0,0,0,0
92,8003695912,0,120,1,1
93,8003694212,0,0,0,0
94,8003692012,0,120,1,1
95,8003696512,0,0,0,0
96,8003697112,0,0,0,0
97,8003811912,0,560,1,1
98,8000001214,0,80,1,1
99,8005543112,0,0,0,0
100,8003703112,0,0,0,0
101,8003715012,0,160,1,1
102,8003717212,0,0,0,0
103,8004597012,0,240,1,1
104,8003716612,0,0,0,0
105,8004431512,0,360,1,1
106,8003719512,0,80,1,1
107,8003710812,0,960,1,1
108,8003711412,0,240,1,1
109,8003707712,0,320,1,1
110,8003712012,0,160,1,1
111,8003713712,0,0,0,0
112,8003720312,0,0,0,0
113,8003724912,0,120,1,1
114,8003732112,0,120,1,1
115,8003733812,0,360,1,1
116,8003734412,0,680,3,1
117,8003727812,0,240,1,1
118,8003729012,0,360,1,1
119,8003730912,0,120,2,1
120,8003728412,0,120,1,1
121,8003731512,0,320,1,1
122,8003735012,0,0,0,0
123,8003739612,0,80,1,1
124,8003737312,0,0,0,0
125,8003745612,0,0,0,0
126,8005177512,0,0,0,0
127,8003743312,0,0,0,0
128,8003750012,0,0,0,0
129,8003751612,0,120,2,1
130,8003747912,0,480,1,1
131,8003755112,0,120,1,1
132,8003741012,0,320,1,1
133,8003746212,0,160,1,1
134,8003758012,0,0,0,0
135,8003749112,0,160,1,1
136,8003763412,0,240,1,1
137,8003752212,0,240,1,1
138,8003768612,0,0,0,0
139,8003753912,0,120,1,1
140,8003769212,0,0,0,0
141,8003759712,0,0,0,0
142,8003760512,0,0,0,0
143,8003762812,0,480,1,1
144,8004612012,0,0,0,0
145,8003772312,0,0,0,0
146,8003773012,0,160,1,1
147,8003764012,0,0,0,0
148,8004175912,0,120,1,1
149,8003767012,0,160,1,1
150,8003775212,0,320,1,1
151,8004164712,0,0,0,0
152,8003781212,0,80,1,1
