,Station,rain,latitude,longitude,Date
2,Recife (Lamepe/Itep),0.0,-8.0592,-34.9519,2012-01-01
3,Recife (Santo Amaro),0.0,-8.0503,-34.8842,2012-01-01
4,Recife (Várzea),0.0,-8.036,-34.98,2012-01-01
5,Recife - PCD,0.0,-8.0644,-34.9247,2012-01-01
6,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2012-02-01
8,Recife (Lamepe/Itep),0.0,-8.0592,-34.9519,2012-02-01
9,Recife (Santo Amaro),0.0,-8.0503,-34.8842,2012-02-01
10,Recife (Várzea),0.0,-8.036,-34.98,2012-02-01
11,Recife - PCD,0.0,-8.0644,-34.9247,2012-02-01
12,Recife (Alto da Brasileira),0.9,-8.0014,-34.9353,2012-03-01
14,Recife (Lamepe/Itep),0.0,-8.0592,-34.9519,2012-03-01
15,Recife (Santo Amaro),0.0,-8.0503,-34.8842,2012-03-01
16,Recife (Várzea),0.0,-8.036,-34.98,2012-03-01
17,Recife - PCD,0.0,-8.0644,-34.9247,2012-03-01
18,Recife (Alto da Brasileira),16.0,-8.0014,-34.9353,2012-04-01
20,Recife (Lamepe/Itep),0.0,-8.0592,-34.9519,2012-04-01
21,Recife (Santo Amaro),0.0,-8.0503,-34.8842,2012-04-01
22,Recife (Várzea),0.0,-8.036,-34.98,2012-04-01
23,Recife - PCD,0.5,-8.0644,-34.9247,2012-04-01
24,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2012-05-01
26,Recife (Lamepe/Itep),0.0,-8.0592,-34.9519,2012-05-01
27,Recife (Santo Amaro),0.0,-8.0503,-34.8842,2012-05-01
28,Recife (Várzea),0.0,-8.036,-34.98,2012-05-01
29,Recife - PCD,0.0,-8.0644,-34.9247,2012-05-01
30,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2012-06-01
32,Recife (Lamepe/Itep),1.8,-8.0592,-34.9519,2012-06-01
33,Recife (Santo Amaro),0.0,-8.0503,-34.8842,2012-06-01
34,Recife (Várzea),1.4,-8.036,-34.98,2012-06-01
35,Recife - PCD,0.3,-8.0644,-34.9247,2012-06-01
36,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2012-07-01
38,Recife (Lamepe/Itep),0.0,-8.0592,-34.9519,2012-07-01
39,Recife (Santo Amaro),0.0,-8.0503,-34.8842,2012-07-01
40,Recife (Várzea),0.6,-8.036,-34.98,2012-07-01
41,Recife - PCD,0.3,-8.0644,-34.9247,2012-07-01
42,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2012-08-01
44,Recife (Lamepe/Itep),2.7,-8.0592,-34.9519,2012-08-01
45,Recife (Santo Amaro),1.7,-8.0503,-34.8842,2012-08-01
46,Recife (Várzea),5.7,-8.036,-34.98,2012-08-01
47,Recife - PCD,0.8,-8.0644,-34.9247,2012-08-01
48,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2012-09-01
50,Recife (Lamepe/Itep),0.0,-8.0592,-34.9519,2012-09-01
51,Recife (Santo Amaro),0.0,-8.0503,-34.8842,2012-09-01
52,Recife (Várzea),0.0,-8.036,-34.98,2012-09-01
53,Recife - PCD,0.0,-8.0644,-34.9247,2012-09-01
54,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2012-10-01
56,Recife (Lamepe/Itep),0.0,-8.0592,-34.9519,2012-10-01
57,Recife (Santo Amaro),0.0,-8.0503,-34.8842,2012-10-01
58,Recife (Várzea),0.0,-8.036,-34.98,2012-10-01
59,Recife - PCD,0.0,-8.0644,-34.9247,2012-10-01
60,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2012-11-01
62,Recife (Lamepe/Itep),0.0,-8.0592,-34.9519,2012-11-01
63,Recife (Santo Amaro),0.0,-8.0503,-34.8842,2012-11-01
64,Recife (Várzea),0.0,-8.036,-34.98,2012-11-01
65,Recife - PCD,0.0,-8.0644,-34.9247,2012-11-01
66,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2012-12-01
68,Recife (Lamepe/Itep),0.0,-8.0592,-34.9519,2012-12-01
70,Recife (Várzea),0.0,-8.036,-34.98,2012-12-01
71,Recife - PCD,0.0,-8.0644,-34.9247,2012-12-01
72,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2013-01-01
75,Recife (Santo Amaro),2.0,-8.0503,-34.8842,2013-01-01
76,Recife (Várzea),5.2,-8.036,-34.98,2013-01-01
77,Recife - PCD,9.0,-8.0644,-34.9247,2013-01-01
78,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2013-02-01
81,Recife (Santo Amaro),0.0,-8.0503,-34.8842,2013-02-01
82,Recife (Várzea),0.0,-8.036,-34.98,2013-02-01
84,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2013-03-01
87,Recife (Santo Amaro),0.0,-8.0503,-34.8842,2013-03-01
88,Recife (Várzea),0.0,-8.036,-34.98,2013-03-01
90,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2013-04-01
93,Recife (Santo Amaro),0.0,-8.0503,-34.8842,2013-04-01
94,Recife (Várzea),0.0,-8.036,-34.98,2013-04-01
99,Recife (Santo Amaro),8.2,-8.0503,-34.8842,2013-05-01
100,Recife (Várzea),10.8,-8.036,-34.98,2013-05-01
102,Recife (Alto da Brasileira),0.5,-8.0014,-34.9353,2013-06-01
105,Recife (Santo Amaro),2.1,-8.0503,-34.8842,2013-06-01
106,Recife (Várzea),2.8,-8.036,-34.98,2013-06-01
108,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2013-07-01
112,Recife (Várzea),1.0,-8.036,-34.98,2013-07-01
114,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2013-08-01
118,Recife (Várzea),4.5,-8.036,-34.98,2013-08-01
120,Recife (Alto da Brasileira),1.3,-8.0014,-34.9353,2013-09-01
124,Recife (Várzea),3.0,-8.036,-34.98,2013-09-01
126,Recife (Alto da Brasileira),10.0,-8.0014,-34.9353,2013-10-01
130,Recife (Várzea),4.6,-8.036,-34.98,2013-10-01
132,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2013-11-01
136,Recife (Várzea),0.0,-8.036,-34.98,2013-11-01
138,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2013-12-01
142,Recife (Várzea),4.0,-8.036,-34.98,2013-12-01
144,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2014-01-01
148,Recife (Várzea),0.0,-8.036,-34.98,2014-01-01
150,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2014-02-01
154,Recife (Várzea),0.0,-8.036,-34.98,2014-02-01
156,Recife (Alto da Brasileira),15.9,-8.0014,-34.9353,2014-03-01
160,Recife (Várzea),33.0,-8.036,-34.98,2014-03-01
162,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2014-04-01
166,Recife (Várzea),2.5,-8.036,-34.98,2014-04-01
168,Recife (Alto da Brasileira),16.2,-8.0014,-34.9353,2014-05-01
172,Recife (Várzea),24.1,-8.036,-34.98,2014-05-01
174,Recife (Alto da Brasileira),9.8,-8.0014,-34.9353,2014-06-01
178,Recife (Várzea),1.0,-8.036,-34.98,2014-06-01
180,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2014-07-01
184,Recife (Várzea),0.0,-8.036,-34.98,2014-07-01
186,Recife (Alto da Brasileira),5.7,-8.0014,-34.9353,2014-08-01
190,Recife (Várzea),4.7,-8.036,-34.98,2014-08-01
192,Recife (Alto da Brasileira),10.0,-8.0014,-34.9353,2014-09-01
196,Recife (Várzea),12.6,-8.036,-34.98,2014-09-01
198,Recife (Alto da Brasileira),3.0,-8.0014,-34.9353,2014-10-01
202,Recife (Várzea),1.0,-8.036,-34.98,2014-10-01
204,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2014-11-01
208,Recife (Várzea),3.7,-8.036,-34.98,2014-11-01
210,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2014-12-01
214,Recife (Várzea),0.2,-8.036,-34.98,2014-12-01
216,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2015-01-01
220,Recife (Várzea),2.6,-8.036,-34.98,2015-01-01
222,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2015-02-01
226,Recife (Várzea),0.2,-8.036,-34.98,2015-02-01
228,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2015-03-01
232,Recife (Várzea),0.0,-8.036,-34.98,2015-03-01
234,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2015-04-01
238,Recife (Várzea),0.0,-8.036,-34.98,2015-04-01
240,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2015-05-01
244,Recife (Várzea),0.0,-8.036,-34.98,2015-05-01
246,Recife (Alto da Brasileira),0.8,-8.0014,-34.9353,2015-06-01
250,Recife (Várzea),0.0,-8.036,-34.98,2015-06-01
252,Recife (Alto da Brasileira),12.0,-8.0014,-34.9353,2015-07-01
256,Recife (Várzea),6.0,-8.036,-34.98,2015-07-01
258,Recife (Alto da Brasileira),1.4,-8.0014,-34.9353,2015-08-01
262,Recife (Várzea),9.5,-8.036,-34.98,2015-08-01
264,Recife (Alto da Brasileira),30.0,-8.0014,-34.9353,2015-09-01
268,Recife (Várzea),16.2,-8.036,-34.98,2015-09-01
270,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2015-10-01
274,Recife (Várzea),0.0,-8.036,-34.98,2015-10-01
276,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2015-11-01
280,Recife (Várzea),0.0,-8.036,-34.98,2015-11-01
282,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2015-12-01
286,Recife (Várzea),0.0,-8.036,-34.98,2015-12-01
288,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2016-01-01
292,Recife (Várzea),0.0,-8.036,-34.98,2016-01-01
294,Recife (Alto da Brasileira),1.7,-8.0014,-34.9353,2016-02-01
298,Recife (Várzea),6.2,-8.036,-34.98,2016-02-01
300,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2016-03-01
304,Recife (Várzea),0.0,-8.036,-34.98,2016-03-01
306,Recife (Alto da Brasileira),3.1,-8.0014,-34.9353,2016-04-01
310,Recife (Várzea),13.0,-8.036,-34.98,2016-04-01
312,Recife (Alto da Brasileira),5.5,-8.0014,-34.9353,2016-05-01
316,Recife (Várzea),2.9,-8.036,-34.98,2016-05-01
318,Recife (Alto da Brasileira),0.7,-8.0014,-34.9353,2016-06-01
324,Recife (Alto da Brasileira),3.3,-8.0014,-34.9353,2016-07-01
328,Recife (Várzea),4.4,-8.036,-34.98,2016-07-01
330,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2016-08-01
334,Recife (Várzea),0.0,-8.036,-34.98,2016-08-01
336,Recife (Alto da Brasileira),2.9,-8.0014,-34.9353,2016-09-01
340,Recife (Várzea),0.0,-8.036,-34.98,2016-09-01
342,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2016-10-01
346,Recife (Várzea),0.0,-8.036,-34.98,2016-10-01
348,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2016-11-01
352,Recife (Várzea),0.0,-8.036,-34.98,2016-11-01
354,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2016-12-01
358,Recife (Várzea),0.0,-8.036,-34.98,2016-12-01
360,Recife (Alto da Brasileira),0.6,-8.0014,-34.9353,2017-01-01
364,Recife (Várzea),0.8,-8.036,-34.98,2017-01-01
366,Recife (Alto da Brasileira),0.5,-8.0014,-34.9353,2017-02-01
370,Recife (Várzea),0.2,-8.036,-34.98,2017-02-01
372,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2017-03-01
376,Recife (Várzea),12.4,-8.036,-34.98,2017-03-01
378,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2017-04-01
379,Recife (Codecipe / Santo Amaro),0.0,-8.0442,-34.8747,2017-04-01
382,Recife (Várzea),0.0,-8.036,-34.98,2017-04-01
384,Recife (Alto da Brasileira),6.1,-8.0014,-34.9353,2017-05-01
388,Recife (Várzea),4.4,-8.036,-34.98,2017-05-01
390,Recife (Alto da Brasileira),2.3,-8.0014,-34.9353,2017-06-01
391,Recife (Codecipe / Santo Amaro),22.6,-8.0442,-34.8747,2017-06-01
394,Recife (Várzea),33.9,-8.036,-34.98,2017-06-01
396,Recife (Alto da Brasileira),19.8,-8.0014,-34.9353,2017-07-01
397,Recife (Codecipe / Santo Amaro),19.0,-8.0442,-34.8747,2017-07-01
400,Recife (Várzea),23.3,-8.036,-34.98,2017-07-01
402,Recife (Alto da Brasileira),13.8,-8.0014,-34.9353,2017-08-01
403,Recife (Codecipe / Santo Amaro),16.8,-8.0442,-34.8747,2017-08-01
406,Recife (Várzea),7.8,-8.036,-34.98,2017-08-01
408,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2017-09-01
409,Recife (Codecipe / Santo Amaro),0.0,-8.0442,-34.8747,2017-09-01
412,Recife (Várzea),0.0,-8.036,-34.98,2017-09-01
414,Recife (Alto da Brasileira),0.0,-8.0014,-34.9353,2017-10-01
415,Recife (Codecipe / Santo Amaro),0.0,-8.0442,-34.8747,2017-10-01
418,Recife (Várzea),0.2,-8.036,-34.98,2017-10-01
