,situation,location,risk,victims,deadly_victims,length,num_points,in_place,sliding,Rain
0,1,1,0,0,0,0,0,0,1,0.6
1,1,1,0,0,0,0,0,0,1,0.6
2,1,1,0,0,0,0,0,0,1,0.13
3,1,1,0,0,0,0,0,0,1,2.17
4,1,1,0,0,0,0,0,0,1,93.6
5,1,1,0,0,0,0,0,0,1,0.0
6,1,1,0,0,0,0,0,0,1,0.0
7,1,1,0,0,0,0,0,0,1,10.83
8,1,1,0,0,0,0,0,0,1,26.53
9,1,1,0,0,0,0,0,0,1,0.0
10,1,1,0,0,0,0,0,0,1,3.1
11,1,1,0,0,0,0,0,0,1,5.4
12,1,1,0,0,0,0,0,0,1,70.5
13,1,1,0,0,0,0,0,0,1,70.5
14,1,1,0,0,0,0,0,0,1,0.6
15,1,1,0,0,0,0,0,0,1,0.0
16,1,1,0,0,0,0,0,0,1,48.4
17,1,1,0,0,0,0,0,0,1,6.1
18,1,1,0,0,0,0,0,0,1,115.2
19,1,1,0,0,0,0,0,0,1,0.0
20,1,1,0,0,0,0,0,0,1,0.0
21,1,1,0,0,0,0,0,0,1,0.0
22,1,1,0,0,0,0,0,0,1,0.0
23,1,1,0,0,0,0,0,0,1,8.0
24,1,1,0,0,0,0,0,0,1,0.0
25,1,1,0,0,0,0,0,0,1,2.4
26,1,1,0,0,0,0,0,0,1,0.0
27,1,1,0,0,0,0,0,0,1,0.0
28,1,1,0,0,0,0,0,0,1,1.7
29,1,1,0,0,0,0,0,0,1,0.0
30,0,1,0,0,0,0,0,0,0,5.7
31,1,1,0,0,0,0,0,0,1,0.0
32,1,1,0,1,0,0,0,0,1,0.65
33,1,1,0,0,0,0,0,0,1,8.4
34,1,1,0,0,0,0,0,0,1,12.6
35,1,1,0,0,0,0,0,0,1,0.0
36,1,1,0,0,0,0,0,0,1,0.0
37,1,2,0,0,0,0,0,0,1,0.07
38,1,2,0,0,0,0,0,0,1,0.03
39,1,2,0,0,0,0,0,0,1,40.23
40,1,2,0,0,0,0,0,0,1,61.3
41,1,2,0,0,0,0,0,0,1,3.67
42,1,2,0,0,0,0,0,0,1,1.8
43,1,2,0,0,0,0,0,0,1,1.8
44,1,2,0,0,0,0,0,0,1,48.67
45,1,2,0,0,0,0,0,0,1,1.33
46,1,2,0,0,0,0,0,0,1,9.03
47,1,2,0,0,0,0,0,0,1,1.33
48,1,2,0,0,0,0,0,0,1,2.77
49,1,2,0,0,0,0,0,0,1,0.0
50,1,2,0,0,0,0,0,0,1,0.0
51,1,2,0,0,0,0,0,0,1,23.57
52,1,2,0,0,0,0,0,0,1,0.0
53,1,2,0,0,0,0,0,0,1,5.0
54,1,2,0,0,0,0,0,0,1,8.33
55,1,2,0,0,0,0,0,0,1,9.53
56,1,2,0,0,0,0,0,0,1,5.3
57,1,2,0,0,0,0,0,0,1,5.33
58,1,2,0,0,0,0,0,0,1,10.57
59,1,2,0,0,0,0,0,0,1,0.03
60,1,2,0,0,0,0,0,0,1,0.23
61,1,2,0,0,0,0,0,0,1,2.05
62,1,2,0,0,0,0,0,0,1,0.77
63,1,2,0,0,0,0,0,0,1,5.17
64,1,2,0,0,0,0,0,0,1,6.23
65,1,2,0,0,0,0,0,0,1,1.3
66,1,2,0,0,0,0,0,0,1,2.63
67,1,2,0,0,0,0,0,0,1,0.0
68,1,2,0,0,0,0,0,0,1,0.53
69,1,2,0,0,0,0,0,0,1,1.47
70,1,2,0,0,0,0,0,0,1,10.83
71,1,2,0,0,0,0,0,0,1,0.67
72,1,2,0,0,0,0,0,0,1,0.0
73,1,2,0,0,0,0,0,0,1,0.0
74,1,2,0,0,0,0,0,0,1,3.27
75,1,2,0,0,0,0,0,0,1,3.27
76,1,2,0,0,0,0,0,0,1,3.4
77,1,2,0,0,0,0,0,0,1,0.0
78,1,2,0,0,0,0,0,0,1,3.9
79,1,2,0,0,0,0,0,0,1,13.5
80,1,2,0,0,0,0,0,0,1,1.6
81,1,2,0,0,0,0,0,0,1,0.0
82,1,2,0,0,0,0,0,0,1,0.0
83,1,2,0,0,0,0,0,0,1,0.0
84,1,2,0,0,0,0,0,0,1,3.2
85,1,2,0,0,0,0,0,0,1,9.1
86,1,2,0,0,0,0,0,0,1,1.0
87,1,2,0,0,0,0,0,0,1,1.0
88,1,2,0,0,0,0,0,0,1,0.2
89,1,2,0,0,0,0,0,0,1,0.3
90,1,2,0,0,0,0,0,0,1,0.0
91,1,2,0,0,0,0,0,0,1,0.0
92,1,2,0,0,0,0,0,0,1,0.0
93,1,2,0,0,0,0,0,0,1,0.0
94,1,2,0,0,0,0,0,0,1,1.1
95,1,2,0,0,0,0,0,0,1,0.0
96,1,2,0,0,0,0,0,0,1,0.0
97,1,2,0,0,0,0,0,0,1,0.0
98,1,2,0,0,0,0,0,0,1,0.8
99,1,2,0,0,0,0,0,0,1,1.7
100,1,2,0,0,0,0,0,0,1,0.0
101,1,2,0,0,0,0,0,0,1,0.0
102,1,2,0,0,0,0,0,0,1,0.0
103,1,2,0,0,0,0,0,0,1,1.4
104,1,2,0,0,0,0,0,0,1,8.5
105,1,2,0,0,0,0,0,0,1,8.5
