,ID,description,situation,Date,location
1,8146602119,0,1,2019-12-10,1
2,8146604419,0,1,2019-12-10,1
3,8112538919,0,1,2019-09-17,1
4,8109426919,0,1,2019-09-09,1
5,8077330119,0,1,2019-06-17,1
6,8129200818,0,1,2018-10-22,1
7,8129202018,0,1,2018-10-22,1
8,8058324118,0,1,2018-05-04,1
9,8040606518,0,1,2018-04-02,1
10,8094575217,0,1,2017-10-15,1
11,8070311517,0,1,2017-08-03,1
12,8038156817,0,1,2017-05-08,1
13,8045912917,0,1,2017-05-29,1
14,8045936517,0,1,2017-05-29,1
15,8012686017,0,1,2017-02-14,1
16,8046976216,0,1,2016-08-01,1
18,8021489016,0,1,2016-05-02,1
19,8018516016,0,1,2016-04-18,1
20,8017416216,0,1,2016-04-16,1
21,8018956016,0,1,2016-04-19,1
22,8003598616,0,1,2016-01-29,1
23,8037555015,0,1,2015-12-07,1
24,8038244815,0,1,2015-12-15,1
25,8028708115,0,1,2015-09-15,1
26,8026912015,0,1,2015-08-26,1
27,8027226315,0,1,2015-08-31,1
28,8027096215,0,1,2015-08-28,1
29,8001316515,0,1,2015-01-14,1
30,8017835914,0,1,2014-10-13,1
31,8016504914,0,1,2014-09-24,1
32,8012453014,0,0,2014-08-01,1
33,8013839014,0,1,2014-08-25,1
34,8012391514,0,1,2014-07-31,1
36,8004255212,0,1,2012-06-20,1
37,8007250013,0,1,2013-06-06,1
38,8001965713,0,1,2013-02-25,1
39,8008209512,0,1,2012-11-01,1
40,8150647619,0,1,2019-12-19,2
41,8101831119,0,1,2019-08-20,2
42,8095738919,0,1,2019-08-02,2
43,8089930919,0,1,2019-07-23,2
44,8084277519,0,1,2019-07-05,2
45,8083246919,0,1,2019-07-03,2
46,8083201519,0,1,2019-07-03,2
47,8074994619,0,1,2019-06-13,2
48,8071861519,0,1,2019-06-06,2
49,8073165619,0,1,2019-06-11,2
50,8071695819,0,1,2019-06-06,2
51,8079002119,0,1,2019-06-20,2
52,8069515619,0,1,2019-06-03,2
53,8064565519,0,1,2019-05-25,2
54,8064752019,0,1,2019-05-27,2
55,8064536519,0,1,2019-05-25,2
